,Super-Category,Model,Macro F1,Weighted F1,Accuracy,Train Time (s)
0,Artificial Intelligence,Linear SVM,0.9664508390265117,0.9652581375765559,0.9652357193526498,9.92277193069458
1,Artificial Intelligence,Logistic Regression,0.9747807172484408,0.9732675225681022,0.9732468046578155,1.8419854640960693
2,Artificial Intelligence,Complement NB,0.8634759169850355,0.845174057019956,0.8465387314654222,1.522655963897705
3,Artificial Intelligence,Random Forest,0.9513485000658001,0.9513574891510628,0.9512714536110007,15.27225136756897
4,Artificial Intelligence,LightGBM,0.9649097189880574,0.9636456540077566,0.9636923582088424,115.89139485359192
5,Data & Knowledge,Linear SVM,0.9756101458805799,0.9846360966849534,0.9845944293502837,0.15929532051086426
6,Data & Knowledge,Logistic Regression,0.9648124184297039,0.9799332139181015,0.9794593597262068,0.26497697830200195
7,Data & Knowledge,Complement NB,0.882973770064886,0.9035312927372207,0.9039560368000057,0.15164566040039062
8,Data & Knowledge,Random Forest,0.9628411044484221,0.9725561697065519,0.9726125399311899,4.0793232917785645
9,Data & Knowledge,LightGBM,0.9725906112259105,0.9801977260143249,0.9802198159999712,22.240997314453125
10,Interdisciplinary / Graphics,Linear SVM,0.9848284424498231,0.9859419681915584,0.9859375,0.03567647933959961
11,Interdisciplinary / Graphics,Logistic Regression,0.9815728827626975,0.982870760604318,0.9828125,0.12042427062988281
12,Interdisciplinary / Graphics,Complement NB,0.9429027032758712,0.9471856110520092,0.947265625,0.03530287742614746
13,Interdisciplinary / Graphics,Random Forest,0.9803050724812566,0.9816994006025656,0.981640625,1.373704433441162
14,Interdisciplinary / Graphics,LightGBM,0.9860861172328441,0.9871128576590238,0.987109375,6.577759027481079
15,Networks & Distributed,Linear SVM,0.9376611468474687,0.9795422888505356,0.9790997356443569,0.18343877792358398
16,Networks & Distributed,Logistic Regression,0.9226863494459792,0.9736359941757685,0.9721332503348237,0.19128847122192383
17,Networks & Distributed,Complement NB,0.8580546625178147,0.957307151918718,0.9602887162448024,0.1407783031463623
18,Networks & Distributed,Random Forest,0.875301228588086,0.963200211615425,0.9665599542969245,1.922269344329834
19,Networks & Distributed,LightGBM,0.9412249729550701,0.9811636233121138,0.9811881721734022,10.179884910583496
20,Robotics & Control,Linear SVM,0.9766990278204133,0.9848494457235045,0.9847114817418567,0.036002397537231445
21,Robotics & Control,Logistic Regression,0.962491452923165,0.9752180976770726,0.9746559679361309,0.055693864822387695
22,Robotics & Control,Complement NB,0.9079587102503137,0.9411643658094038,0.9416725251105025,0.035303592681884766
23,Robotics & Control,Random Forest,0.9749769848809666,0.9838885391716546,0.9839082688904511,1.339728832244873
24,Robotics & Control,LightGBM,0.9869129740980224,0.991562584701086,0.9915501038358666,6.028676509857178
25,Systems & Engineering,Linear SVM,0.9231113282848231,0.9302799511591093,0.9305050727076651,0.6849472522735596
26,Systems & Engineering,Logistic Regression,0.9361136248106003,0.9432191549365037,0.9428879516610227,0.7040479183197021
27,Systems & Engineering,Complement NB,0.7615467541942837,0.8075979989156323,0.8186501171153224,0.18919658660888672
28,Systems & Engineering,Random Forest,0.9149264086313907,0.9178506274325763,0.9186625498856322,18.727784395217896
29,Systems & Engineering,LightGBM,0.9339115277216175,0.9376254225300205,0.9375420207029667,193.4639060497284
30,Theory & Algorithms,Linear SVM,0.9138723069601065,0.9491641778028821,0.9490020464387989,1.1443679332733154
31,Theory & Algorithms,Logistic Regression,0.9011991756906241,0.9510762717950987,0.9498594734778096,1.1839144229888916
32,Theory & Algorithms,Complement NB,0.7036840124532568,0.785314463725663,0.7927500277006747,0.24477887153625488
33,Theory & Algorithms,Random Forest,0.8956568835549306,0.9118515955152642,0.9122367818379556,45.44256234169006
34,Theory & Algorithms,LightGBM,0.9312639661993665,0.9497280511364428,0.9497909040159274,271.1997196674347
